Modality	Fold	R2	RMSE	AUROC
Clinical	1	0.23970848321914673	9.490736209141202	
Clinical	2	0.2598426938056946	9.472332468693281	
Clinical	3	0.2192891240119934	9.461640663382264	
Clinical	4	0.23310524225234985	9.601497342638966	
Clinical	5	0.23358643054962158	9.487652031807457	
Clinical	1			0.766910531931108
Clinical	2			0.7852778419828957
Clinical	3			0.774076776714655
Clinical	4			0.7951361183146043
Clinical	5			0.777674202936724
Labs	1	0.28320950269699097	9.215225011321067	
Labs	2	0.29362010955810547	9.25367169064803	
Labs	3	0.27155447006225586	9.139446371661073	
Labs	4	0.30487382411956787	9.141193391782966	
Labs	5	0.2702118754386902	9.258178394668143	
Labs	1			0.789905435942294
Labs	2			0.8078542876177786
Labs	3			0.7823317397857235
Labs	4			0.7889113305405944
Labs	5			0.7829379998257747
PRS	1	-0.06619882583618164	11.239032740124648	
PRS	2	-0.0838477611541748	11.462492438826569	
PRS	3	-0.09264898300170898	11.193390898958837	
PRS	4	-0.04628753662109375	11.214930487190705	
PRS	5	-0.09399688243865967	11.33535666262625	
PRS	1			0.5434683207093298
PRS	2			0.5345307210159214
PRS	3			0.5342119441053514
PRS	4			0.5735365826628543
PRS	5			0.5337640263313311
PCA	1	-0.09210002422332764	11.37472835677537	
PCA	2	-0.09755384922027588	11.534740881024716	
PCA	3	-0.10846924781799316	11.274133524619842	
PCA	4	-0.06000173091888428	11.288191332087028	
PCA	5	-0.07274973392486572	11.224741746272286	
PCA	1			0.5116697481163397
PCA	2			0.5306360385593277
PCA	3			0.4962900574904694
PCA	4			0.5316593523505552
PCA	5			0.5184980550565443
Clinical+Labs	1	0.3216410279273987	8.96477949663793	
Clinical+Labs	2	0.35759198665618896	8.824708962977192	
Clinical+Labs	3	0.3188946843147278	8.837480782969514	
Clinical+Labs	4	0.3562878370285034	8.796642130993037	
Clinical+Labs	5	0.3234906792640686	8.913823705445257	
Clinical+Labs	1			0.8132277025638988
Clinical+Labs	2			0.8336877455845763
Clinical+Labs	3			0.8053760067651893
Clinical+Labs	4			0.8231473169758629
Clinical+Labs	5			0.8128752444469138
PRS+PCA	1	-0.03670239448547363	11.082478043293301	
PRS+PCA	2	-0.056517720222473145	11.317052104455513	
PRS+PCA	3	-0.07453680038452148	11.10023055653364	
PRS+PCA	4	-0.055464982986450195	11.26400901854761	
PRS+PCA	5	-0.06279873847961426	11.17255925570617	
PRS+PCA	1			0.5620073822256682
PRS+PCA	2			0.5486491998531591
PRS+PCA	3			0.53816194171844
PRS+PCA	4			0.571497439989361
PRS+PCA	5			0.5329049038914646
Clinical+Labs+PRS	1	0.3529738783836365	8.7552940701824	
Clinical+Labs+PRS	2	0.37286895513534546	8.719148578899087	
Clinical+Labs+PRS	3	0.343616783618927	8.67561152608636	
Clinical+Labs+PRS	4	0.3665521740913391	8.726226772861581	
Clinical+Labs+PRS	5	0.3642229437828064	8.641309714478643	
Clinical+Labs+PRS	1			0.822656938563183
Clinical+Labs+PRS	2			0.8384335612992698
Clinical+Labs+PRS	3			0.8074908103905668
Clinical+Labs+PRS	4			0.8342670168672562
Clinical+Labs+PRS	5			0.8242657332584302
All	1	0.3675365447998047	8.656205490493646	
All	2	0.37992727756500244	8.669942774600289	
All	3	0.3472028970718384	8.651879484581524	
All	4	0.3827592730522156	8.613870710413678	
All	5	0.3552180528640747	8.702290411060613	
All	1			0.8289576747977176
All	2			0.8438279242409822
All	3			0.8156322246697538
All	4			0.8374815756810072
All	5			0.8264613827035502
