Feature	SHAP_Importance	Modality
sex	0.31591508	Clinical
HIPWAIST_OUT_WAIST_SIZE	0.13282551	Clinical
age	0.031985424	Clinical
LAB_GGT_2	0.027841885	Labs
LAB_Hematocrit	0.010940698	Labs
LAB_Triglyceride	0.010565583	Labs
LAB_Potassium	0.009977793	Labs
PRS_PGS002296	0.00910193	PRS
LAB_HBA 1C %	0.008621698	Labs
LAB_Total Protein	0.008044039	Labs
LAB_Red Blood Cell	0.007897472	Labs
LAB_Glucose	0.0077584204	Labs
PRS_PGS002047	0.0075746486	PRS
LAB_Prothrombin Time (PT)	0.007149056	Labs
HEIGHTWEIGHT_OUT_SITTING_HEIGHT	0.007042169	Clinical
PRS_PGS000958	0.00700862	PRS
PRS_PGS000957	0.0069451286	PRS
PC5	0.0068468815	PCA
PC1	0.006832536	PCA
Waist_Height_Ratio	0.006802079	Clinical
LAB_Creatinine	0.00669793	Labs
LAB_Insulin	0.0061384756	Labs
PRS_PGS001838	0.0061328285	PRS
LAB_NT-proBNP	0.0059516043	Labs
LAB_SexHormone Binding Globulin	0.0057361	Labs
LAB_Cholesterol Total	0.005629277	Labs
PRS_PGS000706	0.00555703	PRS
LAB_Estradiol	0.0054966225	Labs
LAB_Hemoglobin	0.005467253	Labs
LAB_LDL-Cholesterol Calc	0.0052295653	Labs
LAB_Testosterone Total	0.0051615955	Labs
LAB_Basophils Auto #	0.0051013916	Labs
LAB_Phosphorus	0.0050902315	Labs
LAB_Albumin	0.0050644437	Labs
LAB_Iron	0.004999612	Labs
Grip_Mean	0.004942417	Clinical
LAB_Uric Acid	0.004917454	Labs
LAB_C-Peptide	0.004873336	Labs
PC8	0.0048655947	PCA
HIPWAIST_OUT_CALC_WAIST_TO_HIP_RATIO	0.004810797	Clinical
LAB_ALT ( GPT )	0.00473419	Labs
PC3	0.004703948	PCA
LAB_White Blood Cell	0.004699668	Labs
PRS_PGS000018	0.0046972246	PRS
PC6	0.0045535243	PCA
LAB_LH	0.0045452104	Labs
LAB_Free Triiodothyronine	0.0044975355	Labs
PC10	0.0044539007	PCA
LAB_UIBC	0.0044259294	Labs
LAB_FSH	0.0044178306	Labs
LAB_Urea	0.0043422705	Labs
HEIGHTWEIGHT_OUT_WEIGHT	0.0042885374	Clinical
LAB_Neutrophil Auto #	0.0042866007	Labs
LAB_Chloride	0.0042861956	Labs
LAB_Folate	0.004240844	Labs
PC2	0.0042297957	PCA
LAB_Free Thyroxine	0.004198688	Labs
LAB_Calcium	0.004183378	Labs
LAB_Monocytes Auto #	0.0041317367	Labs
LAB_RDW	0.004121553	Labs
PC4	0.0040725255	PCA
PC9	0.003944467	PCA
LAB_Magnesium	0.0039110766	Labs
LAB_Homocysteine	0.0039087906	Labs
LAB_Lymphocyte Auto %	0.0038409075	Labs
PRS_PGS001793	0.0038360942	PRS
LAB_Ferritin	0.003805538	Labs
PC7	0.0037827797	PCA
LAB_Calcium Corrected	0.0037089752	Labs
LAB_Creatine Kinase_2	0.0036935874	Labs
LAB_Alkaline Phosphatase	0.0036806557	Labs
PRS_PGS001790	0.003670063	PRS
PRS_PGS000117	0.0036589126	PRS
LAB_C-Reactive Protein	0.0036255063	Labs
LAB_Monocyte Auto %	0.0035939938	Labs
LAB_Neutrophil Auto %	0.0035825395	Labs
LAB_Platelet	0.0035777509	Labs
LAB_Myoglobin	0.0035732067	Labs
LAB_International Normalization Ratio	0.0035665352	Labs
LAB_Vitamin B12	0.0035522108	Labs
LAB_HDL-Cholesterol	0.0035167409	Labs
LAB_Nucleated Red Blood Cells %	0.0034870172	Labs
LAB_Dihydroxyvitamin D Total	0.0034753722	Labs
LAB_Total Iron Binding Capacity	0.0034681056	Labs
LAB_Fibrinogen	0.003423846	Labs
LAB_Creatine Kinase	0.0034117494	Labs
LAB_Mean Platelet Volume	0.00339214	Labs
PRS_PGS001780	0.0033902884	PRS
LAB_Mean Cell Volume	0.0033792774	Labs
LAB_Eosinophil Auto %	0.0033619755	Labs
LAB_Lymphocyte Auto #	0.0033519473	Labs
LAB_A1c	0.0033373411	Labs
LAB_Mean Cell Hemoglobin	0.0033357993	Labs
PRS_PGS000116	0.0032711723	PRS
LAB_% IRON SATURATION	0.0032704338	Labs
LAB_Mean Cell Hemoglobin Concentration	0.0032253582	Labs
LAB_Activated Partial Thromboplastin Time	0.0032125076	Labs
LAB_Thyroid Stimulating Hormone	0.0032019366	Labs
LAB_Bilirubin Total	0.0032010023	Labs
LAB_Bicarbonate	0.0031822422	Labs
HEIGHTWEIGHT_OUT_STANDING_HEIGHT	0.0031632427	Clinical
LAB_Sodium	0.003120089	Labs
HIPWAIST_OUT_HIPS_SIZE	0.003086105	Clinical
LAB_Eosinophils Auto #	0.0029410536	Labs
LAB_AST (GOT)	0.002911316	Labs
Grip_Asymmetry	0.002697079	Clinical
LAB_Basophil Auto %	0.0026835084	Labs
HANDGRIP_OUT_RIGHT	0.0023677468	Clinical
HANDGRIP_OUT_LEFT	0.0011634963	Clinical
BMI	0.00080514024	Clinical
LAB_Nucleated Red Blood Cells Auto	0.0	Labs
